                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 0.6923,                0.75227,                0.89978,                0.80659,                 0.7533,                0.80105,                0.62156,                0.63479,                0.81522,                0.87398,              0.0089957,              0.0089957,              0.0089957
                     99,                0.67871,                0.74063,                0.89862,                0.85313,                0.73037,                0.80945,                0.62937,                0.62542,                0.80259,                0.87109,              0.0089607,              0.0089607,              0.0089607
                    100,                0.68348,                0.74018,                0.90096,                0.82755,                0.76631,                0.80832,                0.63031,                0.64547,                0.84143,                0.87535,              0.0089257,              0.0089257,              0.0089257
                    101,                0.67431,                0.72026,                0.89271,                0.83649,                0.73656,                0.81032,                0.62966,                0.63453,                0.82884,                 0.8729,              0.0088907,              0.0088907,              0.0088907
                    102,                0.66815,                 0.7276,                0.88958,                0.87761,                 0.7133,                0.80973,                0.63052,                0.64198,                 0.8204,                0.87349,              0.0088558,              0.0088558,              0.0088558
                    103,                 0.6787,                0.73646,                0.89597,                0.86406,                0.74084,                0.81186,                0.63288,                0.64646,                0.80771,                0.87973,              0.0088208,              0.0088208,              0.0088208
                    104,                0.67846,                0.73208,                0.89532,                0.81984,                 0.7386,                0.80932,                0.62637,                0.65467,                0.81228,                0.88469,              0.0087858,              0.0087858,              0.0087858
                    105,                0.67042,                0.72627,                0.88773,                0.88886,                 0.7199,                0.81457,                0.63939,                 0.6083,                0.78595,                0.86929,              0.0087508,              0.0087508,              0.0087508
                    106,                0.66862,                0.71498,                0.88738,                0.85178,                0.75393,                0.80797,                0.63541,                0.61751,                0.75936,                0.86509,              0.0087158,              0.0087158,              0.0087158
                    107,                0.67516,                0.71962,                0.89154,                0.86922,                0.73822,                0.81604,                0.64136,                0.63234,                  0.784,                0.87595,              0.0086808,              0.0086808,              0.0086808
                    108,                0.67248,                0.71209,                0.89486,                0.84443,                 0.7644,                0.81685,                0.64398,                 0.6275,                0.79194,                0.87188,              0.0086458,              0.0086458,              0.0086458
                    109,                0.68096,                0.73508,                0.89272,                0.85556,                 0.7598,                0.81609,                0.63474,                0.62882,                0.79396,                0.86974,              0.0086108,              0.0086108,              0.0086108
                    110,                0.66893,                0.71549,                0.88731,                 0.8631,                 0.7356,                0.82321,                0.64505,                0.62457,                0.76168,                0.86725,              0.0085758,              0.0085758,              0.0085758
                    111,                0.67869,                0.73332,                0.89708,                0.91109,                0.72429,                0.83003,                0.65462,                0.61935,                0.75182,                0.86441,              0.0085408,              0.0085408,              0.0085408
                    112,                0.67729,                0.71353,                0.88916,                0.87264,                0.75131,                0.83359,                0.65118,                0.62397,                0.77265,                0.86714,              0.0085058,              0.0085058,              0.0085058
                    113,                0.66893,                0.70877,                0.88987,                0.89472,                0.74346,                0.82914,                0.64777,                 0.6238,                 0.7741,                 0.8647,              0.0084708,              0.0084708,              0.0084708
                    114,                0.66121,                0.69941,                0.88721,                0.89134,                0.73298,                0.83244,                0.65186,                0.64225,                0.78469,                0.87056,              0.0084358,              0.0084358,              0.0084358
                    115,                0.67031,                0.70529,                0.88846,                0.85171,                0.76683,                0.82767,                0.64913,                0.63788,                0.77398,                0.86988,              0.0084008,              0.0084008,              0.0084008
                    116,                0.66733,                0.70332,                0.89026,                0.86943,                0.74869,                0.82971,                0.64656,                0.62723,                0.75774,                0.87052,              0.0083659,              0.0083659,              0.0083659
                    117,                0.65704,                0.68315,                0.88323,                0.89348,                0.74869,                0.83572,                0.65466,                0.60766,                0.74798,                0.86206,              0.0083309,              0.0083309,              0.0083309
                    118,                0.65593,                0.68171,                0.88312,                0.85462,                0.78483,                0.83988,                0.66161,                0.61767,                0.75008,                0.86578,              0.0082959,              0.0082959,              0.0082959
                    119,                0.65422,                0.68469,                0.88608,                0.87307,                0.77428,                0.83637,                0.65962,                0.61336,                0.77216,                0.86157,              0.0082609,              0.0082609,              0.0082609
                    120,                0.65786,                0.67406,                0.88461,                0.87234,                0.75654,                0.83579,                 0.6633,                0.60959,                 0.7833,                0.86265,              0.0082259,              0.0082259,              0.0082259
                    121,                0.65495,                0.67383,                0.88211,                0.84646,                0.77931,                0.83895,                0.66137,                0.60548,                0.75472,                0.86208,              0.0081909,              0.0081909,              0.0081909
                    122,                0.65943,                 0.6771,                0.88552,                0.88992,                0.75131,                0.83718,                0.65527,                0.62303,                0.76853,                0.86795,              0.0081559,              0.0081559,              0.0081559
                    123,                0.65897,                0.67027,                0.88533,                0.84558,                0.79058,                0.84139,                0.65577,                 0.6217,                0.74929,                 0.8677,              0.0081209,              0.0081209,              0.0081209
                    124,                0.65364,                0.68842,                0.88129,                 0.8934,                0.75131,                0.83295,                0.65011,                  0.618,                0.76732,                0.86472,              0.0080859,              0.0080859,              0.0080859
                    125,                 0.6535,                0.66731,                0.88127,                0.88712,                 0.7801,                0.83651,                0.65899,                0.61742,                0.75577,                0.86299,              0.0080509,              0.0080509,              0.0080509
                    126,                0.65105,                0.66435,                0.88181,                0.90375,                 0.7644,                0.83953,                0.65865,                0.61873,                0.76188,                0.86386,              0.0080159,              0.0080159,              0.0080159
                    127,                0.65721,                0.67523,                0.88182,                0.89235,                0.75952,                 0.8401,                0.66053,                0.61865,                0.75627,                0.86301,              0.0079809,              0.0079809,              0.0079809
                    128,                 0.6515,                0.67374,                0.88133,                0.87028,                0.77225,                0.84436,                0.66411,                0.61087,                 0.7366,                0.86104,              0.0079459,              0.0079459,              0.0079459
                    129,                0.65575,                0.66973,                0.88213,                0.87588,                0.77749,                0.84457,                0.66965,                0.60287,                0.73938,                0.86087,               0.007911,               0.007911,               0.007911
                    130,                0.64069,                0.66124,                0.87718,                0.87765,                0.76988,                0.84647,                0.66844,                0.60764,                0.74005,                0.86024,               0.007876,               0.007876,               0.007876
