                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.63595,                0.74029,                0.93726,                0.90526,                0.72251,                0.84467,                0.67541,                0.55712,                0.80181,                0.89016,              0.0085408,              0.0085408,              0.0085408
                    112,                0.63689,                0.74229,                0.94159,                0.90143,                0.71818,                0.84594,                0.67418,                0.55494,                0.80007,                0.88921,              0.0085058,              0.0085058,              0.0085058
                    113,                0.62557,                 0.7186,                0.93826,                0.89861,                0.72513,                0.84826,                0.67751,                0.55289,                0.79507,                0.88841,              0.0084708,              0.0084708,              0.0084708
                    114,                0.63061,                0.71173,                0.93785,                0.86255,                0.73298,                0.84896,                0.67758,                0.55451,                0.79214,                0.88923,              0.0084358,              0.0084358,              0.0084358
                    115,                0.62959,                0.71236,                0.93863,                0.89364,                0.71728,                0.85349,                 0.6796,                0.55509,                0.79237,                 0.8891,              0.0084008,              0.0084008,              0.0084008
                    116,                0.62787,                0.72018,                0.93662,                0.89318,                0.72231,                0.85642,                0.68095,                0.55415,                0.78582,                0.88843,              0.0083659,              0.0083659,              0.0083659
                    117,                0.63079,                0.71752,                 0.9395,                0.83385,                0.75393,                0.85674,                0.67727,                  0.557,                0.78456,                0.89047,              0.0083309,              0.0083309,              0.0083309
                    118,                0.62987,                0.72252,                0.93599,                 0.8148,                 0.7644,                0.85435,                0.67316,                 0.5625,                0.79644,                0.89276,              0.0082959,              0.0082959,              0.0082959
                    119,                0.62459,                0.71369,                0.93579,                0.81857,                 0.7644,                0.85369,                 0.6739,                0.56208,                0.79573,                0.89236,              0.0082609,              0.0082609,              0.0082609
                    120,                0.62419,                0.71176,                0.93453,                0.81226,                0.77018,                0.85411,                0.67478,                 0.5626,                0.79384,                0.89256,              0.0082259,              0.0082259,              0.0082259
                    121,                0.62758,                0.71096,                0.93712,                0.83493,                0.75131,                0.85397,                0.67662,                0.56189,                0.79404,                0.89273,              0.0081909,              0.0081909,              0.0081909
