                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.94292,                0.58424,                 1.1216,                0.96604,                0.82199,                0.91202,                0.74477,                0.84729,                0.71322,                 1.1322,              0.0068886,              0.0068886,              0.0068886
                    112,                0.95312,                0.59209,                 1.1144,                0.96321,                0.81675,                0.91342,                0.74972,                0.85002,                0.70336,                 1.1338,              0.0068603,              0.0068603,              0.0068603
                    113,                0.94427,                0.57472,                 1.1123,                0.95203,                0.82199,                0.91206,                 0.7485,                0.84958,                0.68796,                 1.1335,               0.006832,               0.006832,               0.006832
                    114,                0.94578,                0.58579,                 1.1158,                0.93855,                0.83958,                 0.9124,                0.74466,                0.85501,                0.67655,                 1.1358,              0.0068037,              0.0068037,              0.0068037
                    115,                0.94442,                0.57919,                 1.1156,                 0.9454,                0.84293,                0.91433,                0.74597,                0.84998,                0.68976,                 1.1328,              0.0067754,              0.0067754,              0.0067754
                    116,                0.94735,                0.58013,                 1.1134,                0.93919,                0.84555,                0.91447,                0.74401,                0.85492,                0.68291,                 1.1362,              0.0067471,              0.0067471,              0.0067471
                    117,                0.94248,                0.57397,                 1.1093,                0.92835,                0.85602,                 0.9144,                0.74524,                0.85314,                0.67924,                 1.1342,              0.0067189,              0.0067189,              0.0067189
                    118,                0.93636,                0.57273,                 1.1157,                 0.9634,                0.82699,                0.91588,                0.74761,                0.85017,                  0.678,                 1.1347,              0.0066906,              0.0066906,              0.0066906
                    119,                  0.941,                0.57334,                 1.1153,                0.95697,                0.83508,                0.91789,                0.74927,                0.85305,                 0.6733,                 1.1351,              0.0066623,              0.0066623,              0.0066623
                    120,                0.94625,                0.58544,                 1.1203,                0.95785,                0.84031,                0.91921,                0.75324,                0.84871,                0.66885,                 1.1324,               0.006634,               0.006634,               0.006634
